# name ra dec flux_a1100 flux_a1400 flux_a2000
src0 269.44562 1.27972 13.953 6.741 2.187
src1 269.28835 1.09137 11.381 5.486 1.775
src2 269.27405 1.38656 11.091 5.605 1.904
src3 269.61295 1.16578 10.448 5.089 1.664
src4 269.63434 1.52958 9.209 5.146 1.936
src5 269.59649 1.06996 8.707 4.251 1.393
src6 269.43395 1.33087 7.408 3.629 1.194
src7 269.15424 1.48881 7.014 3.453 1.142
src8 269.33526 1.15719 6.341 3.140 1.044
src9 269.37789 1.41921 6.199 3.107 1.047
src10 269.27052 1.59997 6.096 3.022 1.007
src11 269.01391 1.12481 6.088 2.940 0.953
src12 269.63047 1.53589 6.002 2.785 0.867
src13 269.60697 1.30239 5.669 2.558 0.773
src14 269.20759 1.24336 5.512 2.669 0.868
src15 269.60039 1.06655 5.503 2.614 0.833
src16 269.30823 1.19651 5.400 2.834 1.000
src17 269.53106 1.36495 5.392 2.678 0.894
src18 269.03809 1.54236 5.312 2.618 0.867
src19 269.53199 1.57357 5.113 2.493 0.816
src20 269.10061 1.54590 5.103 2.546 0.853
src21 269.24759 1.41565 5.026 2.451 0.803
src22 269.59319 1.29713 4.698 2.474 0.876
src23 269.68118 1.01578 4.439 2.101 0.667
src24 269.39670 1.20592 4.426 2.146 0.699
src25 269.44095 1.66385 4.424 2.074 0.652
src26 269.68825 1.06957 4.368 2.196 0.742
src27 269.31252 1.19645 4.288 2.278 0.814
src28 269.40773 1.13430 4.225 2.077 0.686
src29 269.61471 1.65720 4.130 2.199 0.788
src30 269.03476 1.48198 4.093 2.022 0.671
src31 269.07243 1.04326 3.990 1.891 0.601
src32 269.16726 1.61354 3.958 2.109 0.756
src33 269.42411 1.19492 3.902 1.901 0.622
src34 269.34628 1.11047 3.825 1.869 0.614
src35 269.08110 1.69918 3.752 1.885 0.637
src36 269.55598 1.66395 3.735 1.760 0.557
src37 269.63704 1.33800 3.703 1.951 0.692
src38 269.26673 1.34745 3.679 2.341 1.005
src39 269.56192 1.26877 3.674 1.874 0.643
src40 269.28837 1.29345 3.668 1.715 0.538
src41 269.55128 1.15141 3.571 1.697 0.541
src42 269.00830 1.40709 3.543 1.735 0.571
src43 269.66614 1.45028 3.533 1.816 0.627
src44 269.07132 1.38145 3.529 1.699 0.549
src45 269.02958 1.23981 3.446 1.845 0.665
src46 269.13971 1.61469 3.421 1.679 0.554
src47 269.57275 1.11988 3.380 1.600 0.508
src48 269.14281 1.67298 3.352 1.945 0.761
src49 269.63003 1.31462 3.339 1.765 0.628
src50 269.02578 1.20005 3.324 1.602 0.519
src51 269.06264 1.32622 3.321 1.594 0.514
src52 269.40260 1.24970 3.321 1.680 0.571
src53 269.41454 1.00811 3.315 1.657 0.556
src54 269.55589 1.32810 3.311 1.576 0.503
src55 269.66308 1.14888 3.308 1.648 0.552
src56 269.40593 1.62506 3.297 1.789 0.654
src57 269.42721 1.32768 3.290 1.779 0.648
src58 269.51445 1.40632 3.265 1.568 0.506
src59 269.61976 1.12678 3.235 1.712 0.610
src60 269.58031 1.19615 3.209 1.545 0.500
src61 269.06034 1.35709 3.197 1.589 0.531
src62 269.61779 1.50475 3.179 1.708 0.617
src63 269.52819 1.47382 3.177 1.827 0.708
src64 269.40411 1.45203 3.142 1.744 0.652
src65 269.18249 1.46408 3.139 1.684 0.608
src66 269.08627 1.64874 3.077 1.522 0.506
src67 269.39684 1.17878 3.075 1.538 0.517
src68 269.48967 1.21705 3.074 1.483 0.480
src69 269.50778 1.37469 3.069 1.616 0.573
src70 269.65052 1.38028 3.064 1.477 0.478
src71 269.53182 1.08884 3.045 1.507 0.501
src72 269.26679 1.08879 3.033 1.518 0.511
src73 269.12828 1.55981 3.018 1.665 0.619
src74 269.00016 1.44433 3.007 1.452 0.471
src75 269.25322 1.04712 3.003 1.567 0.550
src76 269.24724 1.46014 3.002 1.482 0.492
src77 269.23640 1.68754 3.001 1.507 0.509
src78 269.35816 1.47312 2.990 1.431 0.460
src79 269.00988 1.29995 2.985 1.540 0.535
src80 269.56712 1.28951 2.924 1.475 0.500
src81 269.31019 1.50771 2.922 1.821 0.765
src82 269.13761 1.45151 2.868 1.502 0.529
src83 269.41933 1.40128 2.864 1.456 0.498
src84 269.70750 1.48417 2.841 1.481 0.519
src85 269.29897 1.37122 2.821 1.361 0.441
src86 269.17437 1.35378 2.802 1.488 0.532
src87 269.41239 1.03791 2.800 1.446 0.502
src88 269.28624 1.55769 2.779 1.400 0.474
src89 269.42645 1.64613 2.774 1.279 0.395
src90 269.39404 1.18145 2.773 1.340 0.435
src91 269.41763 1.19171 2.772 1.540 0.576
src92 269.20545 1.10986 2.771 1.328 0.427
src93 269.08106 1.23592 2.771 1.388 0.467
src94 269.10579 1.32698 2.765 1.346 0.440
src95 269.04051 1.48429 2.758 1.320 0.424
src96 269.58821 1.20046 2.754 1.421 0.493
src97 269.41248 1.23867 2.753 1.430 0.499
src98 269.19198 1.14781 2.740 1.343 0.442
src99 269.46097 1.54639 2.709 1.415 0.497
src100 269.62000 1.07436 2.699 1.431 0.510
src101 269.02443 1.22890 2.699 1.311 0.428
src102 269.00145 1.34970 2.682 1.423 0.508
src103 269.20344 1.27648 2.679 1.413 0.501
src104 269.47549 1.27362 2.679 1.322 0.438
src105 269.54569 1.64338 2.665 1.412 0.504
src106 269.32045 1.39152 2.661 1.336 0.451
src107 269.57959 1.47315 2.641 1.392 0.494
src108 269.12558 1.44659 2.633 1.257 0.403
src109 269.53175 1.62345 2.633 1.230 0.386
src110 269.45790 1.68816 2.619 1.354 0.471
src111 269.05343 1.51700 2.595 1.282 0.426
src112 269.25867 1.12009 2.594 1.379 0.493
src113 269.45013 1.28149 2.592 1.336 0.464
src114 269.31703 1.01321 2.581 1.267 0.418
src115 269.32776 1.11497 2.579 1.292 0.435
src116 269.44786 1.68853 2.577 1.374 0.493
src117 269.03576 1.15050 2.575 1.310 0.448
src118 269.11185 1.39976 2.564 1.326 0.461
src119 269.63557 1.23381 2.558 1.354 0.483
src120 269.48732 1.11666 2.554 1.438 0.545
src121 269.20480 1.64621 2.546 1.451 0.557
src122 269.01249 1.63192 2.528 1.184 0.372
src123 269.07103 1.25968 2.528 1.243 0.411
src124 269.18082 1.50462 2.527 1.282 0.437
src125 269.56682 1.49407 2.520 1.185 0.374
src126 269.13971 1.08201 2.519 1.248 0.416
src127 269.05228 1.40296 2.513 1.408 0.531
src128 269.58251 1.36561 2.511 1.189 0.378
src129 269.11204 1.61342 2.499 1.288 0.447
src130 269.23636 1.29160 2.497 1.181 0.375
src131 269.15103 1.36441 2.493 1.396 0.526
src132 269.44301 1.16832 2.479 1.244 0.419
src133 269.48928 1.03046 2.471 1.326 0.479
src134 269.16813 1.69623 2.462 1.528 0.639
src135 269.07850 1.08285 2.462 1.312 0.470
src136 269.70384 1.05299 2.456 1.188 0.386
src137 269.53209 1.02605 2.448 1.206 0.399
src138 269.56498 1.04129 2.444 1.249 0.429
src139 269.24321 1.21117 2.423 1.163 0.374
src140 269.55466 1.69105 2.422 1.188 0.392
src141 269.32985 1.06955 2.422 1.224 0.416
src142 269.02702 1.26269 2.412 1.246 0.433
src143 269.35384 1.30142 2.408 1.259 0.443
src144 269.53297 1.02316 2.406 1.326 0.493
src145 269.41177 1.16101 2.398 1.219 0.417
src146 269.01234 1.33079 2.396 1.173 0.386
src147 269.45373 1.18025 2.387 1.235 0.429
